sha256	size	selection	origin (escaped)
45a7db56e257834ec6b34377149b1432254321158c7c733889cd4897258cd640	1171	member-rule	bac-v10/amiga_charset/11th_hour.txt
d9b6779cb1847c8e8b6dc37155654ca704d91e0a678bcb71503314b3e6eb7031	1241	member-rule	bac-v10/amiga_charset/11th_hour2.txt
6c5fe8bbda37acfd6fdee8538c78e5af69a5836eb3dce7025a56d7b93073c702	893	member-rule	bac-v10/amiga_charset/13th_hour.txt
ed4f737f185a493bfd349f99978f9f54c69d67a76e6498f4455abd11a0981fa1	1175	member-rule	bac-v10/amiga_charset/13th_hour2.txt
5e8b3c09bc045746d2673dc6d83e1f81843cd729f4ee6e28d91905cd63767f07	1555	member-rule	bac-v10/amiga_charset/5th_dynasty.txt
8bdd8809ab4798e00d9784bec4b8e574abaebe49b6ab86b9f63502782e4926ac	1535	member-rule	bac-v10/amiga_charset/6th_avenue.txt
3de0349cf4439ba415a24d4bf7ea872c29af6379d97a11c9b05ab5f252d2a652	1267	member-rule	bac-v10/amiga_charset/7th_heaven_(NL).txt
c6c52ce2691e0fa9bbd5ca7d6e175f8dd357236af357d0968e68ce738421912b	1603	member-rule	bac-v10/amiga_charset/7th_heaven_(SE).txt
0592bb46edd23663baeca4b317cc9288b913ce33a22ce24702ae05de47bd217e	658	member-rule	bac-v10/amiga_charset/7th_heaven_(SE)2.txt
6017ae1a5e242d2a8b010ead28421b83195ed253957c8adf4749a1f7d093ff30	1779	member-rule	bac-v10/amiga_charset/7th_heaven_(SE)3.txt
6359e2871f0c0a8cfa297f7a0c030b7d86a5d000c6244b7ce1157f809b6daf75	1401	member-rule	bac-v10/amiga_charset/7th_sin.txt
51458642de529e83bdd6fda604a1f785c13fca60e9d6d3264014c5afbf3cd56b	644	member-rule	bac-v10/amiga_charset/MORALES2.TXT
0ac5e3054447e3a26ee583acf93f4ef24be1958666f98f4166b6057bd88985c9	1103	member-rule	bac-v10/amiga_charset/absolute.txt
cadcf06793365ec412d1fa5a45679395a9696f9a359f15941dcb37dc4a6cb5b7	1166	member-rule	bac-v10/amiga_charset/absolute2.txt
029adfc339d069c340c02605f8db969cce38194980c900a29136dc775f68dcb8	1070	member-rule	bac-v10/amiga_charset/aces_high.txt
193f0283d029810cbea7a817d8ca2ee57195ce44ff539dca0f39613fcbf79a79	1702	member-rule	bac-v10/amiga_charset/acid_slam.txt
c849713dd1800f44f51e65e9f408f6413a1e9fda79c9e9cdcfb665bff3feaf03	1192	member-rule	bac-v10/amiga_charset/acid_slam2.txt
ea2acad3e6e8c52106daf36aa7eff81044072e0009085693da71ed9c7535ba20	1347	member-rule	bac-v10/amiga_charset/acid_slam3.txt
bc87349d3f712e085a783906acfa8aa68024087001fb09c0dc7d1f25a2176863	2240	member-rule	bac-v10/amiga_charset/acid_slam4.txt
40bb2c2259874f81851b32dd07190829d626b50244c58a04846821748f90005c	1201	member-rule	bac-v10/amiga_charset/aerosouls.txt
4816f96864363bb1ac49bb5a1fadb1cf35c5b0fbdc208e3041aa97e18752daa4	1206	member-rule	bac-v10/amiga_charset/aerosouls2.txt
738719174003f0e007113887b52da147c478fd591d0a1dca5d6b5b93198e34d3	1651	member-rule	bac-v10/amiga_charset/aftershave.txt
d4926dc9b157ef353dc39400aa1461f63e6862a16c91d3656430faa01026f21e	722	member-rule	bac-v10/amiga_charset/akira.txt
0bc478965ed8818b8d76feab953bfc8547c1df0367f0b7835ae873c7cf1c362e	891	member-rule	bac-v10/amiga_charset/akira2.txt
ace461fd8818e548e93bc56d0d8aca0871e154309810a8cc03d5e9064dfb5111	1088	member-rule	bac-v10/amiga_charset/akira_project.txt
7fc03eecea9e98568136086ec53bbd5b5862aad7adffff5042005de9df1edf76	1182	member-rule	bac-v10/amiga_charset/alter_ego.txt
269b14b788bb96b5efc672693b89f100ab82a6cb72f30e2328a3b6d2208f0443	1140	member-rule	bac-v10/amiga_charset/altered_reality.txt
9018a4f0230dce4ec7b5621550cc15529c91de16989f120466917739b825ec45	1367	member-rule	bac-v10/amiga_charset/alternate_reality.txt
8cf982449fb64285081d56a3ceb5c1b8d7ce7973532541e75b19028a0bec20b6	2264	member-rule	bac-v10/amiga_charset/alternative_reality.txt
