origin	raw_sha256	normalized_sha256	basename	encoding	classification	markers
/home/mkrueger/work/bbs/bbsarchives/Ansi-Art/5mp_2dgb01.zip![3]:PCM.805	be1790a75c9b5b9eb55bdb099188b34e1b02669847dc2ed155929a085c376306	20db51ba6f390ac36914c2810febfbb9099d21d5fd7a73fa180ef0e399e7e2a1	pcm.805	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/Ansi-Art/765no0.zip![11]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	b1761e8d0edefc60353e57f91c05d31f9196ec47b46eaeeb94297e49cf8f95bd	archives.bbs	cp437-inferred	candidate-other	bbs-archives
/home/mkrueger/work/bbs/bbsarchives/Ansi-Art/abi_2d0695.zip![22]:PCM.805	be1790a75c9b5b9eb55bdb099188b34e1b02669847dc2ed155929a085c376306	20db51ba6f390ac36914c2810febfbb9099d21d5fd7a73fa180ef0e399e7e2a1	pcm.805	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/Ansi-Art/ac!-dd.zip![16]:PCM.805	be1790a75c9b5b9eb55bdb099188b34e1b02669847dc2ed155929a085c376306	20db51ba6f390ac36914c2810febfbb9099d21d5fd7a73fa180ef0e399e7e2a1	pcm.805	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/Ansi-Art/ac_21_2ddd.zip![16]:PCM.805	be1790a75c9b5b9eb55bdb099188b34e1b02669847dc2ed155929a085c376306	20db51ba6f390ac36914c2810febfbb9099d21d5fd7a73fa180ef0e399e7e2a1	pcm.805	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/Ansi-Art/acme1295.zip![35]:PCM.805	80750906009881a9ba8ff1b14f16eba30a62b332f0925024a0dbd5941d2efcc6	64cd56a5ad1ead516088e5b067167be4e962293fdffc3fb0ec57e3ed396de9bf	pcm.805	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/Ansi-Art/act_2d1094.zip![28]:PCM.NFO	cd07e38fe4c925c470a1c33c41d230c7085d20392a1f60a2c110f0c42121826d	ffac4893a08efb68f798dc96c5247f81fdaf44700e6d3b7e73c51a519addf749	pcm.nfo	cp437-inferred	doc-like	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/Ansi-Art/aim_2d0994.zip![47]:PCM.NFO	cd07e38fe4c925c470a1c33c41d230c7085d20392a1f60a2c110f0c42121826d	ffac4893a08efb68f798dc96c5247f81fdaf44700e6d3b7e73c51a519addf749	pcm.nfo	cp437-inferred	doc-like	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/Ansi-Art/aim_2d0995.zip![31]:PCM.805	be1790a75c9b5b9eb55bdb099188b34e1b02669847dc2ed155929a085c376306	20db51ba6f390ac36914c2810febfbb9099d21d5fd7a73fa180ef0e399e7e2a1	pcm.805	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/Ansi-Art/ali_2d0194.zip![30]:PCM.NFO	cd07e38fe4c925c470a1c33c41d230c7085d20392a1f60a2c110f0c42121826d	ffac4893a08efb68f798dc96c5247f81fdaf44700e6d3b7e73c51a519addf749	pcm.nfo	cp437-inferred	doc-like	pacific-coast-micro
