metric	value
status	partial
whole_scan_stopped	false
scanned_bytes	1412269691
stored_blob_bytes	1072935426
archive-limit	0
archives_nested	4840
archives_top	17244
binary-rejected	51065
depth-limit	1
directories	71476
encrypted	255
entry-limit	7
errors	313
global-limit	0
member-size-limit	630
members_read	226980
members_read_attempted	278874
members_seen	350653
nested_recognized	4841
source_directories	88
source_files	17292
sources_attempted	17292
sources_verified	17292
stored-limit	0
text_occurrences	174772
text_rejected	47367
unreadable_source_archives	63
unsupported_sources	48
