origin	sha256	rule	action	first_line	last_line
PCBoard-PPE-s-D-F/dma_2dwall.zip::FILE_ID.DIZ	50ef15ee0783e1a9ac07cba4e067929181e52b02e27b4c9f922348c6540e37b0	holland-number-one-transit	AutoClean	13	13
PCBoard-PPE-s-D-F/dod_2ddl1c.zip::FILE_ID.DIZ	976f96a82b6734f6c42ca2c968f633fd4ac5fe3c2d5d15fbe6c294056396d3db	limpy-crack-mark	ReportOnly	19	19
PCBoard-PPE-s-D-F/dod_2due12.zip::FILE_ID.DIZ	3cbf9611df6d0f7aceb54937be8ee093720b023ab8e7e8ae528bf9a5c63e28f5	ambient-hauze-transit	AutoClean	18	18
PCBoard-PPE-s-D-F/dod_2dup32.zip::FILE_ID.DIZ	d99c9c72e548a0929489b908e082ab424b67b08b74b0dc80d6bc31835ea6dbf1	risc-couriering-94	AutoClean	18	18
PCBoard-PPE-s-D-F/dodnew11.zip::FILE_ID.DIZ	c085ac86f1535bbec523c79795a3031d5cf9c2c4152b557fa315ae4b31c9d259	rts-couriers	AutoClean	15	15
PCBoard-PPE-s-D-F/elt_2dnfse.zip::FILE_ID.DIZ	35aa0b2d30982c24c06c0526935e648834ac0af6120458d0885f1f99fd139cac	bsbbs-phone	AutoClean	17	17
PCBoard-PPE-s-D-F/flx_2deblt.zip::FILE_ID.DIZ	14d2ed7d06e484479d57b7cbeab86d0e17633da17b590358ab7d59826b604982	digital-delusions-transit-315	AutoClean	9	9
PCBoard-PPE-s-D-F/food_21bll.zip::FILE_ID.DIZ	0163de5266db5e9a89213e7755b1177cfb317265cb1df66b1e43c456accb413c	fate97-courier	AutoClean	11	11
PCBoard-PPE-s-D-F/fsn_2dnuu.zip::FILE_ID.DIZ	8cea9cfd119a65f1a2007ffbc420a365ab5d7a9a9c16bfcb4697b13ae9182763	rts-whq-transit	AutoClean	15	15
PCBoard-PPE-s-D-F/fsn_2dnuu.zip::FILE_ID.DIZ	8cea9cfd119a65f1a2007ffbc420a365ab5d7a9a9c16bfcb4697b13ae9182763	nuclear-insemination-promotion	ReportOnly	13	13
PCBoard-PPE-s-D-F/ftatul16.zip::FILE_ID.DIZ	a945a4a3d4cc8c2d8f739db2877428d794f88a095ba3115af39cf88109d51304	high-tech-couriers-cross	AutoClean	10	10
PCBoard-PPE-s-G-I/gnxzmrf1.zip::FILE_ID.DIZ	c3afebd9f5cfc8851a512d11bd2615b7b183fdd96db8cb8925c7bc0565aacee5	metro-couriers-95	AutoClean	12	12
PCBoard-PPE-s-G-I/imn_2daloh.zip::FILE_ID.DIZ	9799a7c081f27b95c6b9a15da31c10e72bc4571d18e15b34ee1b6283241e759a	nexus-project-promotion	ReportOnly	15	16
PCBoard-PPE-s-G-I/imn_2dbdkk.zip::FILE_ID.DIZ	7449cc3ae58ca8a0f97936b876d97835e1a00f166ca6dc07bba9f3a028779387	nexus-project-promotion	ReportOnly	16	17
